01;CLA;IPL3;201611;
1;J;1507201;1;EBT;
1;J;1507300;6;EBT;
1;J;1507409;2;EBT;
1;J;1507458;5;EBT;
1;J;1507474;2;EBT;
1;J;1507607;6;EBT;
1;J;1507755;1;EBT;
1;J;1507904;8;EBT;
1;J;1507953;5;EBT;
1;J;1507979;4;EBT;
1;J;1508001;11;EBT;
1;J;1508035;2;EBT;
1;J;1508084;14;EBT;
1;J;1508100;9;EBT;
1;J;1508126;2;EBT;
1;J;1508159;7;EBT;
1;J;1508209;10;EBT;
1;J;1508308;5;EBT;
1;J;1508357;1;EBT;
1;J;1508407;20;EBT;
1;J;1600055;1;EBT;
1;J;1600105;1;EBT;
1;J;1600212;2;EBT;
1;J;1600238;3;EBT;
1;J;1600279;9;EBT;
1;J;1600303;188;EBT;
1;J;1600402;3;EBT;
1;J;1600501;9;EBT;
1;J;1600535;1;EBT;
1;J;1600600;21;EBT;
1;J;1600709;1;EBT;
1;J;1700301;3;EBT;
1;J;1700350;3;EBT;
1;J;1700400;4;EBT;
1;J;1700707;9;EBT;
1;J;1701002;1;EBT;
1;J;1702000;4;EBT;
1;J;1702109;112;EBT;
1;J;1702208;5;EBT;
1;J;1702307;2;EBT;
1;J;1702554;3;EBT;
1;J;1703701;1;EBT;
1;J;1703867;1;EBT;
1;J;1705508;19;EBT;
1;J;1706100;3;EBT;
1;J;1706506;2;EBT;
1;J;1707009;6;EBT;
1;J;1707108;3;EBT;
1;J;1707553;3;EBT;
1;J;1707652;2;EBT;
1;J;1707702;1;EBT;
1;J;1708205;2;EBT;
1;J;1709302;16;EBT;
1;J;1709500;46;EBT;
1;J;1711902;1;EBT;
1;J;1713205;13;EBT;
1;J;1713304;11;EBT;
1;J;1714203;4;EBT;
1;J;1714302;1;EBT;
1;J;1714880;8;EBT;
1;J;1715754;2;EBT;
1;J;1716109;29;EBT;
1;J;1716208;2;EBT;
1;J;1716505;4;EBT;
1;J;1716604;2;EBT;
1;J;1716703;2;EBT;
1;J;1717503;1;EBT;
1;J;1718204;45;EBT;
1;J;1718402;1;EBT;
1;J;1718451;1;EBT;
1;J;1718865;2;EBT;
1;J;1720499;1;EBT;
1;J;1720655;3;EBT;
1;J;1721000;364;EBT;
1;J;1721208;6;EBT;
1;J;1722081;3;EBT;
1;J;1722107;2;EBT;
1;J;2100055;8;EBT;
1;J;2100154;1;EBT;
1;J;2100204;5;EBT;
1;J;2100303;1;EBT;
1;J;2100402;1;EBT;
1;J;2100436;1;EBT;
1;J;2100477;1;EBT;
1;J;2100501;5;EBT;
1;J;2100600;2;EBT;
1;J;2100709;1;EBT;
1;J;2100808;1;EBT;
1;J;2100832;1;EBT;
1;J;2100873;1;EBT;
1;J;2100907;2;EBT;
1;J;2100956;2;EBT;
1;J;2101004;3;EBT;
1;J;2101103;1;EBT;
1;J;2101202;14;EBT;
1;J;2101251;5;EBT;
1;J;2101301;1;EBT;
1;J;2101400;23;EBT;
1;J;2101509;3;EBT;
1;J;2101608;4;EBT;
1;J;2101707;7;EBT;
1;J;2101772;1;EBT;
1;J;2101905;1;EBT;
1;J;2101970;3;EBT;
1;J;2102002;1;EBT;
1;J;2102036;1;EBT;
1;J;2102077;1;EBT;
1;J;2102101;1;EBT;
1;J;2102150;1;EBT;
1;J;2102200;1;EBT;
1;J;2102309;3;EBT;
1;J;2102408;1;EBT;
1;J;2102507;1;EBT;
1;J;2102606;1;EBT;
1;J;2102705;2;EBT;
1;J;2102754;1;EBT;
1;J;2102804;7;EBT;
1;J;2103000;42;EBT;
1;J;2103125;1;EBT;
1;J;2103208;2;EBT;
1;J;2103307;7;EBT;
1;J;2103406;2;EBT;
1;J;2103505;1;EBT;
1;J;2103554;1;EBT;
1;J;2103604;3;EBT;
1;J;2103703;3;EBT;
1;J;2103802;1;EBT;
1;J;2104008;1;EBT;
1;J;2104057;9;EBT;
1;J;2104107;2;EBT;
1;J;2104206;1;EBT;
1;J;2104404;1;EBT;
1;J;2104503;1;EBT;
1;J;2104552;1;EBT;
1;J;2104602;1;EBT;
1;J;2104677;3;EBT;
1;J;2104701;1;EBT;
1;J;2104800;4;EBT;
1;J;2104909;1;EBT;
1;J;2105005;1;EBT;
1;J;2105104;1;EBT;
1;J;2105153;1;EBT;
1;J;2105203;1;EBT;
1;J;2105302;98;EBT;
1;J;2105351;1;EBT;
1;J;2105401;2;EBT;
1;J;2105427;3;EBT;
1;J;2105500;2;EBT;
1;J;2105609;1;EBT;
1;J;2105708;2;EBT;
1;J;2105807;1;EBT;
1;J;2105906;1;EBT;
1;J;2105948;1;EBT;
1;J;2105989;1;EBT;
1;J;2106102;2;EBT;
1;J;2106300;1;EBT;
1;J;2106326;2;EBT;
1;J;2106409;1;EBT;
1;J;2106508;2;EBT;
1;J;2106607;1;EBT;
1;J;2106706;2;EBT;
1;J;2106755;6;EBT;
1;J;2106904;1;EBT;
1;J;2107001;1;EBT;
1;J;2107100;2;EBT;
1;J;2107209;1;EBT;
1;J;2107357;3;EBT;
1;J;2107407;1;EBT;
1;J;2107456;1;EBT;
1;J;2107506;4;EBT;
1;J;2107605;1;EBT;
1;J;2107704;2;EBT;
1;J;2107803;2;EBT;
1;J;2107902;1;EBT;
1;J;2108009;2;EBT;
1;J;2108058;1;EBT;
1;J;2108108;1;EBT;
1;J;2108207;2;EBT;
1;J;2108256;1;EBT;
1;J;2108306;2;EBT;
1;J;2108405;1;EBT;
1;J;2108454;3;EBT;
1;J;2108504;2;EBT;
1;J;2108603;5;EBT;
1;J;2108702;1;EBT;
1;J;2108801;1;EBT;
1;J;2108900;1;EBT;
1;J;2109007;3;EBT;
1;J;2109106;5;EBT;
1;J;2109205;1;EBT;
1;J;2109239;1;EBT;
1;J;2109270;1;EBT;
1;J;2109304;1;EBT;
1;J;2109502;1;EBT;
1;J;2109601;6;EBT;
1;J;2109809;1;EBT;
1;J;2109908;18;EBT;
1;J;2110005;2;EBT;
1;J;2110039;2;EBT;
1;J;2110104;2;EBT;
1;J;2110203;2;EBT;
1;J;2110237;1;EBT;
1;J;2110302;7;EBT;
1;J;2110401;2;EBT;
1;J;2110500;2;EBT;
1;J;2110609;1;EBT;
1;J;2110708;1;EBT;
1;J;2110906;1;EBT;
1;J;2111003;1;EBT;
1;J;2111078;1;EBT;
1;J;2111102;3;EBT;
1;J;2111201;26;EBT;
1;J;2111300;622;EBT;
1;J;2111409;2;EBT;
1;J;2111508;5;EBT;
1;J;2111607;2;EBT;
1;J;2111706;1;EBT;
1;J;2111722;1;EBT;
1;J;2111763;1;EBT;
1;J;2111789;1;EBT;
1;J;2111805;1;EBT;
1;J;2112001;1;EBT;
1;J;2112100;1;EBT;
1;J;2112209;18;EBT;
1;J;2112233;1;EBT;
1;J;2112506;2;EBT;
1;J;2112605;2;EBT;
1;J;2112704;2;EBT;
1;J;2112803;2;EBT;
1;J;2112902;2;EBT;
1;J;2114007;5;EBT;
1;J;2200202;1;EBT;
1;J;2200400;3;EBT;
1;J;2200509;1;EBT;
1;J;2201200;1;EBT;
1;J;2201408;1;EBT;
1;J;2201507;2;EBT;
1;J;2201903;2;EBT;
1;J;2201945;1;EBT;
1;J;2202000;4;EBT;
1;J;2202083;1;EBT;
1;J;2202208;5;EBT;
1;J;2202406;2;EBT;
1;J;2202505;1;EBT;
1;J;2202703;2;EBT;
1;J;2202729;1;EBT;
1;J;2202901;9;EBT;
1;J;2203206;1;EBT;
1;J;2203305;3;EBT;
1;J;2203701;5;EBT;
1;J;2203909;11;EBT;
1;J;2204303;2;EBT;
1;J;2205276;1;EBT;
1;J;2205508;2;EBT;
1;J;2205557;1;EBT;
1;J;2205565;1;EBT;
1;J;2205805;1;EBT;
1;J;2207009;1;EBT;
1;J;2207702;24;EBT;
1;J;2208007;24;EBT;
1;J;2208304;1;EBT;
1;J;2208403;18;EBT;
1;J;2209401;1;EBT;
1;J;2209971;1;EBT;
1;J;2210003;1;EBT;
1;J;2210052;1;EBT;
1;J;2210607;5;EBT;
1;J;2211001;497;EBT;
1;J;2211100;1;EBT;
1;J;2211308;1;EBT;
1;J;2300101;1;EBT;
1;J;2300150;2;EBT;
1;J;2300200;4;EBT;
1;J;2300309;3;EBT;
1;J;2300408;3;EBT;
1;J;2300507;1;EBT;
1;J;2300705;1;EBT;
1;J;2300754;1;EBT;
1;J;2300804;1;EBT;
1;J;2301000;28;EBT;
1;J;2301109;14;EBT;
1;J;2301208;1;EBT;
1;J;2301257;2;EBT;
1;J;2301307;1;EBT;
1;J;2301406;1;EBT;
1;J;2301505;1;EBT;
1;J;2301703;1;EBT;
1;J;2301802;1;EBT;
1;J;2301851;1;EBT;
1;J;2301901;14;EBT;
1;J;2302008;1;EBT;
1;J;2302057;1;EBT;
1;J;2302107;2;EBT;
1;J;2302206;2;EBT;
1;J;2302305;1;EBT;
1;J;2302404;4;EBT;
1;J;2302503;3;EBT;
1;J;2302602;5;EBT;
1;J;2302701;3;EBT;
1;J;2302800;5;EBT;
1;J;2302909;1;EBT;
1;J;2303006;1;EBT;
1;J;2303105;2;EBT;
1;J;2303303;2;EBT;
1;J;2303402;1;EBT;
1;J;2303501;6;EBT;
1;J;2303600;1;EBT;
1;J;2303659;1;EBT;
1;J;2303709;46;EBT;
1;J;2303808;1;EBT;
1;J;2303907;2;EBT;
1;J;2303931;1;EBT;
1;J;2303956;3;EBT;
1;J;2304004;1;EBT;
1;J;2304103;3;EBT;
1;J;2304202;18;EBT;
1;J;2304236;2;EBT;
1;J;2304251;1;EBT;
1;J;2304269;1;EBT;
1;J;2304277;1;EBT;
1;J;2304285;43;EBT;
1;J;2304301;1;EBT;
1;J;2304350;1;EBT;
1;J;2304400;740;EBT;
1;J;2304459;1;EBT;
1;J;2304509;1;EBT;
1;J;2304657;1;EBT;
1;J;2304707;2;EBT;
1;J;2304806;1;EBT;
1;J;2304905;1;EBT;
1;J;2304954;2;EBT;
1;J;2305001;2;EBT;
1;J;2305209;1;EBT;
1;J;2305233;16;EBT;
1;J;2305266;1;EBT;
1;J;2305308;2;EBT;
1;J;2305332;1;EBT;
1;J;2305357;2;EBT;
1;J;2305407;5;EBT;
1;J;2305506;6;EBT;
1;J;2305605;1;EBT;
1;J;2305654;1;EBT;
1;J;2305704;2;EBT;
1;J;2305803;2;EBT;
1;J;2305902;2;EBT;
1;J;2306009;2;EBT;
1;J;2306108;2;EBT;
1;J;2306207;1;EBT;
1;J;2306256;3;EBT;
