01;CLA;IPL3;201210;
1;J;2104008;1;
1;J;2104057;5;
1;J;2104107;2;
1;J;2104206;1;
1;J;2104404;1;
1;J;2104503;1;
1;J;2104552;1;
1;J;2104602;1;
1;J;2104677;2;
1;J;2104701;1;
1;J;2104800;4;
1;J;2104909;1;
1;J;2105005;1;
1;J;2105104;1;
1;J;2105153;1;
1;J;2105203;1;
1;J;2105302;33;
1;J;2105351;1;
1;J;2105401;2;
1;J;2105427;2;
1;J;2105500;2;
1;J;2105609;1;
1;J;2105708;2;
1;J;2105807;1;
1;J;2105906;1;
1;J;2105948;1;
1;J;2105989;1;
1;J;2106102;2;
1;J;2106300;1;
1;J;2106326;2;
1;J;2106409;1;
1;J;2106508;1;
1;J;2106607;1;
1;J;2106706;2;
1;J;2106755;5;
1;J;2106904;1;
1;J;2107001;1;
1;J;2107100;1;
1;J;2107209;1;
1;J;2107357;2;
1;J;2107407;1;
1;J;2107456;1;
1;J;2107506;3;
1;J;2107605;1;
1;J;2107704;1;
1;J;2107803;2;
1;J;2107902;1;
1;J;2108009;2;
1;J;2108058;1;
1;J;2108108;1;
1;J;2108207;2;
1;J;2108256;1;
1;J;2108306;3;
1;J;2108405;1;
1;J;2108454;4;
1;J;2108504;2;
1;J;2108603;4;
1;J;2108702;1;
1;J;2108801;1;
1;J;2108900;1;
1;J;2109007;2;
1;J;2109106;9;
1;J;2109205;1;
1;J;2109239;1;
1;J;2109270;1;
1;J;2109304;1;
1;J;2109452;1;
1;J;2109502;1;
1;J;2109601;5;
1;J;2109809;1;
1;J;2109908;5;
1;J;2110005;2;
1;J;2110039;2;
1;J;2110104;1;
1;J;2110203;2;
1;J;2110237;1;
1;J;2110302;1;
1;J;2110401;2;
1;J;2110500;2;
1;J;2110609;1;
1;J;2110708;1;
1;J;2110906;1;
1;J;2111003;1;
1;J;2111078;1;
1;J;2111102;4;
1;J;2111201;7;
1;J;2111300;172;
1;J;2111409;2;
1;J;2111508;5;
1;J;2111607;2;
1;J;2111706;1;
1;J;2111722;1;
1;J;2111763;1;
1;J;2111789;1;
1;J;2111805;1;
1;J;2112001;1;
1;J;2112100;1;
1;J;2112209;7;
1;J;2112233;1;
1;J;2112506;1;
1;J;2112605;2;
1;J;2112704;3;
1;J;2112803;1;
1;J;2112902;2;
1;J;2114007;2;
1;J;2200202;1;
1;J;2200509;1;
1;J;2201200;1;
1;J;2201408;1;
1;J;2201903;4;
1;J;2201945;1;
1;J;2202000;1;
1;J;2202083;1;
1;J;2202505;1;
1;J;2202703;1;
1;J;2202729;1;
1;J;2202901;6;
1;J;2203206;2;
1;J;2203305;3;
1;J;2203909;5;
1;J;2204303;1;
1;J;2205276;1;
1;J;2205508;1;
1;J;2205557;1;
1;J;2205565;1;
1;J;2205805;1;
1;J;2207009;2;
1;J;2207702;13;
1;J;2208007;14;
1;J;2208304;1;
1;J;2208403;4;
1;J;2209401;1;
1;J;2209971;1;
1;J;2210003;1;
1;J;2210052;1;
1;J;2210607;3;
