01;CLA;IPL3;201306;
1;J;1100015;1;EBT;
1;J;1100023;40;EBT;
1;J;1100031;2;EBT;
1;J;1100049;91;EBT;
1;J;1100056;2;EBT;
1;J;1100064;5;EBT;
1;J;1100080;3;EBT;
1;J;1100098;3;EBT;
1;J;1100106;5;EBT;
1;J;1100114;9;EBT;
1;J;1100122;114;EBT;
1;J;1100130;4;EBT;
1;J;1100148;1;EBT;
1;J;1100155;10;EBT;
1;J;1100189;52;EBT;
1;J;1100205;530;EBT;
1;J;1100254;5;EBT;
1;J;1100288;5;EBT;
1;J;1100296;3;EBT;
1;J;1100304;115;EBT;
1;J;1100320;6;EBT;
1;J;1100338;2;EBT;
1;J;1100346;1;EBT;
1;J;1100379;1;EBT;
1;J;1100452;3;EBT;
1;J;1100502;3;EBT;
1;J;1100601;1;EBT;
1;J;1100924;1;EBT;
1;J;1101203;1;EBT;
1;J;1101302;3;EBT;
1;J;1101401;1;EBT;
1;J;1101492;1;EBT;
1;J;1101500;1;EBT;
1;J;1101708;1;EBT;
1;J;1200013;2;EBT;
1;J;1200138;2;EBT;
1;J;1200203;6;EBT;
1;J;1200252;4;EBT;
1;J;1200302;1;EBT;
1;J;1200336;1;EBT;
1;J;1200385;3;EBT;
1;J;1200401;271;EBT;
1;J;1200450;3;EBT;
1;J;1200500;2;EBT;
1;J;1200609;1;EBT;
1;J;1200708;2;EBT;
1;J;1200807;1;EBT;
1;J;1300029;4;EBT;
1;J;1300060;3;EBT;
1;J;1300086;2;EBT;
1;J;1300102;2;EBT;
1;J;1300144;4;EBT;
1;J;1300201;3;EBT;
1;J;1300300;2;EBT;
1;J;1300409;4;EBT;
1;J;1300508;2;EBT;
1;J;1300607;6;EBT;
1;J;1300631;4;EBT;
1;J;1300680;2;EBT;
1;J;1300706;1;EBT;
1;J;1300805;1;EBT;
1;J;1300839;3;EBT;
1;J;1300904;2;EBT;
1;J;1301001;3;EBT;
1;J;1301100;5;EBT;
1;J;1301159;3;EBT;
1;J;1301209;7;EBT;
