01;CLA;IPL3;201309;
1;J;1100015;2;EBT;
1;J;1100023;43;EBT;
1;J;1100031;2;EBT;
1;J;1100049;92;EBT;
1;J;1100056;2;EBT;
1;J;1100064;4;EBT;
1;J;1100080;3;EBT;
1;J;1100098;3;EBT;
1;J;1100106;6;EBT;
1;J;1100114;11;EBT;
1;J;1100122;130;EBT;
1;J;1100130;3;EBT;
1;J;1100148;1;EBT;
1;J;1100155;15;EBT;
1;J;1100189;52;EBT;
1;J;1100205;574;EBT;
1;J;1100254;5;EBT;
1;J;1100288;6;EBT;
1;J;1100296;3;EBT;
1;J;1100304;125;EBT;
1;J;1100320;5;EBT;
1;J;1100338;2;EBT;
1;J;1100346;1;EBT;
1;J;1100379;1;EBT;
1;J;1100452;3;EBT;
1;J;1100502;3;EBT;
1;J;1100601;1;EBT;
1;J;1100924;1;EBT;
1;J;1101203;1;EBT;
1;J;1101302;2;EBT;
1;J;1101401;1;EBT;
1;J;1101468;1;EBT;
1;J;1101492;1;EBT;
1;J;1101500;1;EBT;
1;J;1101708;1;EBT;
1;J;1200013;2;EBT;
1;J;1200104;5;EBT;
1;J;1200138;4;EBT;
1;J;1200203;7;EBT;
1;J;1200252;4;EBT;
1;J;1200302;1;EBT;
1;J;1200336;1;EBT;
1;J;1200344;1;EBT;
1;J;1200385;3;EBT;
1;J;1200401;289;EBT;
1;J;1200450;3;EBT;
1;J;1200500;2;EBT;
1;J;1200609;1;EBT;
1;J;1200708;2;EBT;
1;J;1200807;1;EBT;
1;J;1300029;4;EBT;
1;J;1300060;3;EBT;
1;J;1300086;2;EBT;
1;J;1300102;2;EBT;
1;J;1300144;4;EBT;
1;J;1300201;3;EBT;
1;J;1300300;2;EBT;
1;J;1300409;4;EBT;
1;J;1300508;2;EBT;
1;J;1300607;6;EBT;
1;J;1300631;4;EBT;
1;J;1300680;2;EBT;
1;J;1300706;1;EBT;
1;J;1300805;1;EBT;
1;J;1300839;3;EBT;
1;J;1300904;2;EBT;
1;J;1301001;3;EBT;
1;J;1301100;5;EBT;
1;J;1301159;3;EBT;
1;J;1301209;7;EBT;
1;J;1301308;2;EBT;
1;J;1301407;10;EBT;
1;J;1301506;1;EBT;
1;J;1301605;3;EBT;
1;J;1301654;3;EBT;
1;J;1301704;5;EBT;
1;J;1301803;2;EBT;
1;J;1301852;4;EBT;
1;J;1301902;13;EBT;
1;J;1301951;1;EBT;
1;J;1302009;2;EBT;
1;J;1302108;4;EBT;
1;J;1302207;5;EBT;
1;J;1302306;2;EBT;
1;J;1302405;8;EBT;
1;J;1302504;12;EBT;
1;J;1302553;2;EBT;
1;J;1302603;946;EBT;
1;J;1302702;3;EBT;
1;J;1302801;3;EBT;
1;J;1302900;10;EBT;
1;J;1303007;2;EBT;
1;J;1303106;5;EBT;
1;J;1303205;5;EBT;
1;J;1303304;3;EBT;
1;J;1303403;16;EBT;
1;J;1303502;3;EBT;
1;J;1303536;4;EBT;
1;J;1303569;4;EBT;
1;J;1303601;4;EBT;
1;J;1303700;2;EBT;
1;J;1303809;6;EBT;
1;J;1303908;2;EBT;
1;J;1303957;2;EBT;
1;J;1304005;1;EBT;
1;J;1304062;12;EBT;
1;J;1304104;1;EBT;
1;J;1304203;17;EBT;
1;J;1304237;4;EBT;
1;J;1304260;2;EBT;
1;J;1304302;3;EBT;
1;J;1304401;4;EBT;
1;J;1400050;3;EBT;
1;J;1400100;111;EBT;
1;J;1400209;2;EBT;
1;J;1400308;3;EBT;
1;J;1400456;7;EBT;
1;J;1400472;5;EBT;
1;J;1400605;2;EBT;
1;J;1500404;3;EBT;
1;J;1500503;4;EBT;
1;J;1500602;21;EBT;
1;J;1500800;136;EBT;
1;J;1501303;31;EBT;
1;J;1501402;711;EBT;
1;J;1501451;2;EBT;
1;J;1501501;26;EBT;
1;J;1501709;7;EBT;
1;J;1501782;2;EBT;
1;J;1501808;6;EBT;
1;J;1501956;3;EBT;
1;J;1502103;4;EBT;
1;J;1502152;3;EBT;
1;J;1502202;14;EBT;
1;J;1502301;3;EBT;
1;J;1502400;44;EBT;
1;J;1502707;5;EBT;
1;J;1502939;6;EBT;
1;J;1502954;2;EBT;
1;J;1503309;4;EBT;
1;J;1503457;3;EBT;
1;J;1503606;11;EBT;
1;J;1503705;3;EBT;
1;J;1503804;1;EBT;
1;J;1503903;5;EBT;
1;J;1504059;2;EBT;
1;J;1504208;129;EBT;
1;J;1504422;56;EBT;
1;J;1504455;1;EBT;
1;J;1504802;2;EBT;
1;J;1505031;3;EBT;
1;J;1505064;1;EBT;
1;J;1505106;3;EBT;
1;J;1505304;9;EBT;
1;J;1505403;1;EBT;
1;J;1505437;2;EBT;
1;J;1505502;37;EBT;
1;J;1505536;24;EBT;
1;J;1505601;1;EBT;
1;J;1505650;2;EBT;
1;J;1506138;8;EBT;
1;J;1506187;2;EBT;
1;J;1506203;6;EBT;
1;J;1506351;2;EBT;
1;J;1506500;5;EBT;
1;J;1506609;3;EBT;
1;J;1506708;2;EBT;
1;J;1506807;45;EBT;
1;J;1507300;1;EBT;
1;J;1507458;1;EBT;
1;J;1507607;5;EBT;
1;J;1507904;5;EBT;
1;J;1507953;2;EBT;
1;J;1508001;2;EBT;
1;J;1508084;5;EBT;
1;J;1508100;5;EBT;
1;J;1508159;2;EBT;
1;J;1508209;2;EBT;
1;J;1508407;9;EBT;
1;J;1600105;1;EBT;
1;J;1600212;1;EBT;
1;J;1600238;2;EBT;
1;J;1600279;2;EBT;
1;J;1600303;95;EBT;
1;J;1600402;3;EBT;
1;J;1600501;5;EBT;
1;J;1600600;4;EBT;
1;J;1600709;1;EBT;
1;J;1700350;3;EBT;
1;J;1700400;1;EBT;
1;J;1700707;11;EBT;
1;J;1702000;1;EBT;
1;J;1702109;79;EBT;
1;J;1702208;2;EBT;
1;J;1702307;1;EBT;
1;J;1702406;2;EBT;
1;J;1702554;2;EBT;
1;J;1703206;1;EBT;
1;J;1703701;1;EBT;
1;J;1703867;1;EBT;
1;J;1705508;8;EBT;
1;J;1705557;1;EBT;
1;J;1706100;3;EBT;
1;J;1707009;3;EBT;
1;J;1707108;2;EBT;
1;J;1707553;2;EBT;
1;J;1707652;2;EBT;
1;J;1707702;2;EBT;
1;J;1708205;1;EBT;
1;J;1709302;10;EBT;
1;J;1709500;32;EBT;
1;J;1710904;1;EBT;
1;J;1713205;10;EBT;
1;J;1713304;6;EBT;
1;J;1714203;1;EBT;
1;J;1714880;5;EBT;
1;J;1715754;2;EBT;
1;J;1716109;13;EBT;
1;J;1716208;1;EBT;
1;J;1716505;3;EBT;
1;J;1716604;1;EBT;
1;J;1716703;1;EBT;
1;J;1717503;3;EBT;
1;J;1717909;1;EBT;
1;J;1718204;24;EBT;
1;J;1718402;1;EBT;
1;J;1718451;1;EBT;
1;J;1718840;1;EBT;
1;J;1718865;1;EBT;
1;J;1718907;1;EBT;
1;J;1720499;1;EBT;
1;J;1720655;2;EBT;
1;J;1720978;1;EBT;
1;J;1721000;192;EBT;
1;J;1721208;3;EBT;
1;J;1722081;3;EBT;
1;J;1722107;1;EBT;
1;J;2100055;7;EBT;
1;J;2100154;1;EBT;
1;J;2100204;4;EBT;
1;J;2100303;1;EBT;
1;J;2100402;1;EBT;
1;J;2100436;1;EBT;
1;J;2100477;1;EBT;
1;J;2100501;2;EBT;
1;J;2100600;3;EBT;
1;J;2100709;1;EBT;
1;J;2100808;1;EBT;
1;J;2100832;1;EBT;
1;J;2100873;1;EBT;
1;J;2100907;1;EBT;
1;J;2100956;2;EBT;
1;J;2101004;3;EBT;
1;J;2101103;1;EBT;
1;J;2101202;9;EBT;
1;J;2101251;3;EBT;
1;J;2101301;1;EBT;
1;J;2101400;2;EBT;
1;J;2101509;2;EBT;
1;J;2101608;9;EBT;
1;J;2101707;6;EBT;
1;J;2101772;1;EBT;
1;J;2101905;1;EBT;
1;J;2101970;3;EBT;
1;J;2102002;1;EBT;
1;J;2102036;1;EBT;
1;J;2102077;1;EBT;
1;J;2102101;1;EBT;
1;J;2102150;1;EBT;
1;J;2102200;1;EBT;
1;J;2102309;3;EBT;
1;J;2102408;1;EBT;
1;J;2102507;1;EBT;
1;J;2102606;1;EBT;
1;J;2102705;2;EBT;
1;J;2102754;1;EBT;
1;J;2102804;4;EBT;
1;J;2103000;20;EBT;
1;J;2103125;1;EBT;
1;J;2103174;1;EBT;
1;J;2103208;2;EBT;
1;J;2103307;6;EBT;
1;J;2103406;2;EBT;
1;J;2103505;1;EBT;
1;J;2103554;1;EBT;
1;J;2103604;3;EBT;
1;J;2103703;3;EBT;
1;J;2103802;1;EBT;
1;J;2104008;1;EBT;
1;J;2104057;5;EBT;
1;J;2104107;2;EBT;
1;J;2104206;1;EBT;
1;J;2104404;1;EBT;
1;J;2104503;1;EBT;
1;J;2104552;1;EBT;
1;J;2104602;1;EBT;
1;J;2104677;2;EBT;
1;J;2104701;1;EBT;
1;J;2104800;4;EBT;
1;J;2104909;1;EBT;
1;J;2105005;1;EBT;
1;J;2105104;1;EBT;
1;J;2105153;1;EBT;
1;J;2105203;1;EBT;
1;J;2105302;33;EBT;
1;J;2105351;1;EBT;
1;J;2105401;2;EBT;
1;J;2105427;3;EBT;
1;J;2105500;2;EBT;
1;J;2105609;1;EBT;
1;J;2105708;2;EBT;
1;J;2105807;1;EBT;
1;J;2105906;1;EBT;
1;J;2105948;1;EBT;
1;J;2105989;1;EBT;
1;J;2106102;2;EBT;
1;J;2106300;1;EBT;
1;J;2106326;2;EBT;
1;J;2106409;1;EBT;
1;J;2106508;1;EBT;
1;J;2106607;1;EBT;
1;J;2106706;2;EBT;
1;J;2106755;5;EBT;
1;J;2106904;1;EBT;
1;J;2107001;1;EBT;
1;J;2107100;1;EBT;
1;J;2107209;1;EBT;
1;J;2107357;2;EBT;
1;J;2107407;1;EBT;
1;J;2107456;1;EBT;
1;J;2107506;4;EBT;
1;J;2107605;1;EBT;
1;J;2107704;1;EBT;
1;J;2107803;2;EBT;
1;J;2107902;1;EBT;
1;J;2108009;2;EBT;
1;J;2108058;1;EBT;
1;J;2108108;1;EBT;
1;J;2108207;2;EBT;
1;J;2108256;1;EBT;
1;J;2108306;2;EBT;
1;J;2108405;1;EBT;
1;J;2108454;3;EBT;
1;J;2108504;2;EBT;
1;J;2108603;5;EBT;
1;J;2108702;1;EBT;
1;J;2108801;1;EBT;
1;J;2108900;1;EBT;
1;J;2109007;2;EBT;
1;J;2109106;11;EBT;
1;J;2109205;1;EBT;
1;J;2109239;1;EBT;
1;J;2109270;1;EBT;
1;J;2109304;1;EBT;
1;J;2109502;1;EBT;
1;J;2109601;5;EBT;
1;J;2109809;1;EBT;
1;J;2109908;5;EBT;
1;J;2110005;2;EBT;
1;J;2110039;2;EBT;
1;J;2110104;1;EBT;
1;J;2110203;2;EBT;
1;J;2110237;1;EBT;
1;J;2110302;7;EBT;
1;J;2110401;2;EBT;
1;J;2110500;2;EBT;
1;J;2110609;1;EBT;
1;J;2110708;1;EBT;
1;J;2110906;1;EBT;
1;J;2111003;1;EBT;
1;J;2111078;1;EBT;
1;J;2111102;4;EBT;
1;J;2111201;7;EBT;
1;J;2111300;206;EBT;
1;J;2111409;2;EBT;
1;J;2111508;5;EBT;
1;J;2111607;2;EBT;
1;J;2111706;1;EBT;
1;J;2111722;1;EBT;
1;J;2111763;1;EBT;
1;J;2111789;1;EBT;
1;J;2111805;1;EBT;
1;J;2112001;1;EBT;
1;J;2112100;1;EBT;
1;J;2112209;10;EBT;
1;J;2112233;1;EBT;
1;J;2112506;1;EBT;
1;J;2112605;2;EBT;
1;J;2112704;3;EBT;
1;J;2112803;1;EBT;
1;J;2112902;3;EBT;
1;J;2114007;2;EBT;
1;J;2200202;1;EBT;
1;J;2200400;2;EBT;
1;J;2200509;1;EBT;
1;J;2201200;1;EBT;
1;J;2201408;1;EBT;
1;J;2201903;2;EBT;
1;J;2201945;1;EBT;
1;J;2202000;1;EBT;
1;J;2202083;1;EBT;
1;J;2202208;2;EBT;
1;J;2202406;2;EBT;
1;J;2202505;1;EBT;
1;J;2202703;1;EBT;
1;J;2202729;1;EBT;
1;J;2202901;5;EBT;
1;J;2203206;2;EBT;
1;J;2203305;3;EBT;
1;J;2203701;1;EBT;
1;J;2203909;5;EBT;
1;J;2204303;1;EBT;
1;J;2205276;1;EBT;
1;J;2205508;1;EBT;
1;J;2205557;1;EBT;
1;J;2205565;1;EBT;
1;J;2205805;1;EBT;
1;J;2207009;1;EBT;
1;J;2207702;15;EBT;
1;J;2208007;14;EBT;
1;J;2208304;1;EBT;
1;J;2208403;8;EBT;
1;J;2209401;1;EBT;
1;J;2209971;1;EBT;
1;J;2210003;1;EBT;
1;J;2210052;1;EBT;
1;J;2210607;3;EBT;
1;J;2211001;262;EBT;
1;J;2211308;1;EBT;
1;J;2300101;1;EBT;
1;J;2300150;1;EBT;
1;J;2300200;4;EBT;
1;J;2300309;4;EBT;
1;J;2300408;3;EBT;
1;J;2300507;1;EBT;
1;J;2300705;1;EBT;
1;J;2300754;1;EBT;
1;J;2300804;1;EBT;
1;J;2301000;23;EBT;
1;J;2301109;12;EBT;
1;J;2301208;1;EBT;
1;J;2301257;2;EBT;
1;J;2301307;1;EBT;
1;J;2301406;1;EBT;
1;J;2301505;1;EBT;
1;J;2301703;1;EBT;
1;J;2301802;1;EBT;
1;J;2301851;1;EBT;
1;J;2301901;10;EBT;
1;J;2302008;1;EBT;
1;J;2302057;1;EBT;
1;J;2302107;2;EBT;
1;J;2302206;1;EBT;
1;J;2302305;1;EBT;
1;J;2302404;4;EBT;
1;J;2302503;3;EBT;
1;J;2302602;5;EBT;
1;J;2302701;3;EBT;
1;J;2302800;4;EBT;
1;J;2302909;1;EBT;
1;J;2303006;1;EBT;
1;J;2303105;2;EBT;
1;J;2303303;2;EBT;
1;J;2303402;1;EBT;
1;J;2303501;5;EBT;
1;J;2303600;1;EBT;
1;J;2303659;1;EBT;
1;J;2303709;29;EBT;
1;J;2303808;3;EBT;
1;J;2303907;2;EBT;
1;J;2303931;1;EBT;
1;J;2303956;2;EBT;
1;J;2304004;1;EBT;
1;J;2304103;2;EBT;
1;J;2304202;12;EBT;
1;J;2304236;2;EBT;
1;J;2304251;1;EBT;
1;J;2304269;1;EBT;
1;J;2304277;1;EBT;
1;J;2304285;30;EBT;
1;J;2304301;1;EBT;
1;J;2304350;1;EBT;
1;J;2304400;295;EBT;
1;J;2304459;1;EBT;
1;J;2304509;1;EBT;
1;J;2304657;1;EBT;
1;J;2304707;2;EBT;
1;J;2304806;1;EBT;
1;J;2304905;1;EBT;
1;J;2304954;2;EBT;
1;J;2305001;2;EBT;
1;J;2305209;1;EBT;
1;J;2305233;10;EBT;
1;J;2305266;1;EBT;
1;J;2305308;2;EBT;
1;J;2305332;1;EBT;
1;J;2305357;2;EBT;
1;J;2305407;2;EBT;
1;J;2305506;5;EBT;
1;J;2305605;1;EBT;
1;J;2305654;1;EBT;
1;J;2305704;2;EBT;
1;J;2305803;2;EBT;
1;J;2305902;2;EBT;
1;J;2306009;2;EBT;
1;J;2306108;2;EBT;
1;J;2306207;1;EBT;
1;J;2306256;2;EBT;
1;J;2306306;1;EBT;
1;J;2306405;4;EBT;
1;J;2306504;1;EBT;
1;J;2306553;3;EBT;
1;J;2306603;2;EBT;
1;J;2306702;1;EBT;
1;J;2306801;1;EBT;
1;J;2306900;2;EBT;
1;J;2307007;4;EBT;
1;J;2307106;1;EBT;
1;J;2307205;1;EBT;
1;J;2307254;3;EBT;
1;J;2307304;24;EBT;
1;J;2307403;1;EBT;
1;J;2307502;1;EBT;
1;J;2307601;6;EBT;
1;J;2307635;1;EBT;
1;J;2307650;64;EBT;
1;J;2307700;3;EBT;
1;J;2307809;1;EBT;
1;J;2307908;1;EBT;
1;J;2308005;1;EBT;
1;J;2308104;3;EBT;
1;J;2308203;1;EBT;
1;J;2308302;1;EBT;
1;J;2308351;1;EBT;
1;J;2308377;1;EBT;
1;J;2308500;1;EBT;
1;J;2308609;2;EBT;
1;J;2308708;3;EBT;
1;J;2308807;1;EBT;
1;J;2308906;1;EBT;
1;J;2309003;1;EBT;
1;J;2309201;1;EBT;
1;J;2309300;3;EBT;
1;J;2309409;3;EBT;
1;J;2309458;1;EBT;
1;J;2309508;3;EBT;
1;J;2309607;6;EBT;
1;J;2309706;11;EBT;
1;J;2309805;1;EBT;
1;J;2309904;1;EBT;
1;J;2310001;1;EBT;
1;J;2310100;2;EBT;
1;J;2310209;2;EBT;
1;J;2310258;2;EBT;
1;J;2310308;2;EBT;
1;J;2310407;1;EBT;
1;J;2310506;2;EBT;
1;J;2310605;1;EBT;
1;J;2310704;3;EBT;
1;J;2310803;2;EBT;
1;J;2310852;2;EBT;
1;J;2310902;1;EBT;
1;J;2310951;1;EBT;
1;J;2311009;1;EBT;
1;J;2311108;1;EBT;
1;J;2311207;2;EBT;
1;J;2311231;1;EBT;
1;J;2311264;1;EBT;
1;J;2311306;5;EBT;
1;J;2311355;1;EBT;
1;J;2311405;3;EBT;
1;J;2311504;2;EBT;
1;J;2311603;3;EBT;
1;J;2311702;1;EBT;
1;J;2311801;12;EBT;
1;J;2311900;2;EBT;
1;J;2311959;1;EBT;
1;J;2312007;2;EBT;
1;J;2312106;1;EBT;
1;J;2312205;4;EBT;
