01;CLA;IPL3;201407;
1;J;1100015;3;EBT;
1;J;1100023;47;EBT;
1;J;1100031;2;EBT;
1;J;1100049;96;EBT;
1;J;1100056;2;EBT;
1;J;1100064;5;EBT;
1;J;1100080;4;EBT;
1;J;1100098;4;EBT;
1;J;1100106;9;EBT;
1;J;1100114;11;EBT;
1;J;1100122;159;EBT;
1;J;1100130;4;EBT;
1;J;1100148;1;EBT;
1;J;1100155;16;EBT;
1;J;1100189;55;EBT;
1;J;1100205;718;EBT;
1;J;1100254;6;EBT;
1;J;1100288;7;EBT;
1;J;1100296;3;EBT;
1;J;1100304;142;EBT;
1;J;1100320;7;EBT;
1;J;1100338;3;EBT;
1;J;1100346;3;EBT;
1;J;1100379;1;EBT;
1;J;1100403;1;EBT;
1;J;1100452;3;EBT;
1;J;1100502;3;EBT;
1;J;1100601;1;EBT;
1;J;1100924;1;EBT;
1;J;1101005;2;EBT;
1;J;1101203;1;EBT;
1;J;1101302;2;EBT;
1;J;1101468;1;EBT;
1;J;1101492;1;EBT;
1;J;1101500;1;EBT;
1;J;1101708;1;EBT;
1;J;1200013;1;EBT;
1;J;1200054;4;EBT;
1;J;1200104;6;EBT;
1;J;1200138;7;EBT;
1;J;1200203;10;EBT;
1;J;1200252;5;EBT;
1;J;1200302;3;EBT;
1;J;1200336;4;EBT;
1;J;1200344;2;EBT;
1;J;1200385;3;EBT;
1;J;1200401;377;EBT;
1;J;1200450;3;EBT;
1;J;1200500;4;EBT;
1;J;1200609;3;EBT;
1;J;1200708;2;EBT;
1;J;1300029;4;EBT;
1;J;1300060;3;EBT;
1;J;1300086;2;EBT;
1;J;1300102;2;EBT;
1;J;1300144;4;EBT;
1;J;1300201;3;EBT;
1;J;1300300;2;EBT;
1;J;1300409;4;EBT;
1;J;1300508;2;EBT;
1;J;1300607;6;EBT;
1;J;1300631;4;EBT;
1;J;1300680;2;EBT;
1;J;1300706;1;EBT;
1;J;1300805;1;EBT;
1;J;1300839;3;EBT;
1;J;1300904;2;EBT;
1;J;1301001;3;EBT;
1;J;1301100;6;EBT;
1;J;1301159;3;EBT;
1;J;1301209;7;EBT;
1;J;1301308;2;EBT;
1;J;1301407;10;EBT;
1;J;1301506;1;EBT;
1;J;1301605;3;EBT;
1;J;1301654;3;EBT;
1;J;1301704;9;EBT;
1;J;1301803;2;EBT;
1;J;1301852;4;EBT;
1;J;1301902;13;EBT;
1;J;1301951;1;EBT;
1;J;1302009;2;EBT;
1;J;1302108;4;EBT;
1;J;1302207;5;EBT;
1;J;1302306;2;EBT;
1;J;1302405;9;EBT;
1;J;1302504;13;EBT;
1;J;1302553;2;EBT;
1;J;1302603;1110;EBT;
1;J;1302702;3;EBT;
1;J;1302801;3;EBT;
1;J;1302900;10;EBT;
1;J;1303007;2;EBT;
